id,lon,lat,height
1036.0,8.383,54.617,279.0
1037.0,6.748,53.557,221.6
1109.0,-3.086,58.441,123.7
1113.0,9.856,58.995,194.8
113.0,11.142,55.332,81.1
1197.0,9.987,54.995,43.5
120.0,11.926,54.573,48.4
1236.0,11.791,57.685,232.2
13.0,10.872,53.958,20.4
179.0,11.218,58.354,215.9
20.0,3.596,51.442,164.5
2112.0,11.832,58.093,191.7
2113.0,11.127,58.997,225.3
22.0,4.12,51.977,140.8
23.0,4.745,52.964,180.2
236.0,5.22,53.363,187.0
24.0,6.933,53.326,215.2
25.0,5.409,53.176,214.7
255.0,1.323,51.114,86.2
286.0,-0.187,53.63,101.9
3.0,0.743,51.446,69.4
302.0,7.555,58.006,164.0
32.0,4.555,52.462,166.0
33.0,10.605,59.678,227.7
350.0,-1.111,50.802,38.0
361.0,-2.077,57.144,142.8
413.0,2.917,51.233,134.5
455.0,1.868,50.969,95.8
468.0,2.367,51.048,87.5
47.0,5.73,58.974,161.4
470.0,3.2,51.35,151.5
486.0,5.113,61.934,192.1
489.0,2.733,51.15,123.1
509.0,6.152,62.469,193.9
58.0,5.32,60.398,162.8
62.0,10.735,59.909,221.5
7.0,8.717,53.867,280.7
703.0,8.596,57.119,247.5
754.0,1.75,52.473,153.3
76.0,10.224,56.147,174.0
789.0,10.157,54.372,11.4
8.0,11.458,53.899,35.9
80.0,8.441,55.461,339.8
81.0,9.754,55.561,108.0
830.0,-1.14,60.154,135.7
89.0,9.964,57.596,263.8
9.0,4.25,51.917,118.5
91.0,10.549,57.436,231.2
936.0,-2.92,54.032,302.9
95.0,-1.44,55.007,154.3
98.0,10.828,55.288,129.6
