id,lon,lat,height
1036.0,8.383,54.617,47.0
1037.0,6.748,53.557,103.6
1109.0,-3.086,58.441,93.7
1113.0,9.856,58.995,72.8
113.0,11.142,55.332,71.1
120.0,11.926,54.573,116.4
1236.0,11.791,57.685,115.2
13.0,10.872,53.958,88.4
179.0,11.218,58.354,121.9
20.0,3.596,51.442,89.5
2112.0,11.832,58.093,89.7
2113.0,11.127,58.997,122.3
22.0,4.12,51.977,60.8
23.0,4.745,52.964,71.2
236.0,5.22,53.363,93.0
24.0,6.933,53.326,79.2
25.0,5.409,53.176,77.7
255.0,1.323,51.114,51.2
286.0,-0.187,53.63,70.9
3.0,0.743,51.446,40.4
302.0,7.555,58.006,79.0
32.0,4.555,52.462,62.0
33.0,10.605,59.678,120.7
350.0,-1.111,50.802,55.0
361.0,-2.077,57.144,125.8
413.0,2.917,51.233,67.5
468.0,2.367,51.048,30.5
47.0,5.73,58.974,104.4
470.0,3.2,51.35,121.5
486.0,5.113,61.934,142.1
489.0,2.733,51.15,58.1
509.0,6.152,62.469,116.9
58.0,5.32,60.398,107.8
62.0,10.735,59.909,100.5
7.0,8.717,53.867,93.7
703.0,8.596,57.119,172.5
76.0,10.224,56.147,74.0
789.0,10.157,54.372,78.4
8.0,11.458,53.899,98.9
80.0,8.441,55.461,152.8
81.0,9.754,55.561,92.0
830.0,-1.14,60.154,112.7
89.0,9.964,57.596,132.8
9.0,4.25,51.917,39.5
91.0,10.549,57.436,68.2
936.0,-2.92,54.032,156.9
95.0,-1.44,55.007,89.3
98.0,10.828,55.288,101.6
