id,lon,lat,height
1036.0,8.383,54.617,32.0
1037.0,6.748,53.557,38.6
1109.0,-3.086,58.441,-27.3
1113.0,9.856,58.995,26.8
113.0,11.142,55.332,40.1
1197.0,9.987,54.995,2.5
120.0,11.926,54.573,41.4
1236.0,11.791,57.685,71.2
13.0,10.872,53.958,41.4
179.0,11.218,58.354,68.9
20.0,3.596,51.442,56.5
2112.0,11.832,58.093,46.7
2113.0,11.127,58.997,62.3
22.0,4.12,51.977,44.8
23.0,4.745,52.964,43.2
236.0,5.22,53.363,17.0
24.0,6.933,53.326,48.2
25.0,5.409,53.176,25.7
255.0,1.323,51.114,19.2
286.0,-0.187,53.63,-13.1
3.0,0.743,51.446,51.4
302.0,7.555,58.006,12.0
32.0,4.555,52.462,55.0
33.0,10.605,59.678,65.7
350.0,-1.111,50.802,69.0
361.0,-2.077,57.144,10.8
413.0,2.917,51.233,58.5
455.0,1.868,50.969,52.8
468.0,2.367,51.048,64.5
47.0,5.73,58.974,26.4
470.0,3.2,51.35,67.5
486.0,5.113,61.934,-40.9
489.0,2.733,51.15,54.1
509.0,6.152,62.469,-73.1
58.0,5.32,60.398,-5.2
62.0,10.735,59.909,61.5
7.0,8.717,53.867,59.7
703.0,8.596,57.119,48.5
754.0,1.75,52.473,56.3
76.0,10.224,56.147,46.0
789.0,10.157,54.372,4.4
8.0,11.458,53.899,29.9
80.0,8.441,55.461,69.8
81.0,9.754,55.561,38.0
89.0,9.964,57.596,62.8
9.0,4.25,51.917,25.5
91.0,10.549,57.436,35.2
936.0,-2.92,54.032,-0.1
95.0,-1.44,55.007,34.3
98.0,10.828,55.288,28.6
